rank,strategy,period,target,trades,net_pnl_including_funding,win_rate
6,v3_selected_6_B0_15m_2bp,valid,HBARUSDT,35,359.8744933497245,0.5142857142857142
6,v3_selected_6_B0_15m_2bp,valid,LINKUSDT,19,-58.04958994502026,0.5789473684210527
6,v3_selected_6_B0_15m_2bp,valid,LTCUSDT,31,785.4443021936862,0.5806451612903226
6,v3_selected_6_B0_15m_2bp,valid,NEARUSDT,72,-120.65864278054755,0.6527777777777778
6,v3_selected_6_B0_15m_2bp,valid,SOLUSDT,34,824.3147943079769,0.7058823529411765
6,v3_selected_6_B0_15m_2bp,valid,SUIUSDT,44,-694.669521787713,0.5681818181818182
6,v3_selected_6_B0_15m_2bp,valid,TRXUSDT,48,-619.3279844064266,0.5208333333333334
6,v3_selected_6_B0_15m_2bp,valid,UNIUSDT,40,-1263.634324460158,0.45
6,v3_selected_6_B0_15m_2bp,valid,XLMUSDT,52,577.0615895063264,0.6153846153846154
6,v3_selected_6_B0_15m_2bp,valid,XRPUSDT,31,325.73698190718494,0.5806451612903226
6,v3_selected_6_B0_15m_2bp,holdout,AAVEUSDT,53,-1403.9936108236748,0.5849056603773585
6,v3_selected_6_B0_15m_2bp,holdout,ADAUSDT,40,-1562.9088752554396,0.5
6,v3_selected_6_B0_15m_2bp,holdout,AVAXUSDT,24,-367.1698510257153,0.625
6,v3_selected_6_B0_15m_2bp,holdout,BCHUSDT,46,-1192.2789080656619,0.5434782608695652
6,v3_selected_6_B0_15m_2bp,holdout,BNBUSDT,30,507.80345066386417,0.6666666666666666
6,v3_selected_6_B0_15m_2bp,holdout,BTCUSDT,34,-623.6069788108929,0.5294117647058824
6,v3_selected_6_B0_15m_2bp,holdout,DOGEUSDT,21,-1246.3680621524966,0.42857142857142855
6,v3_selected_6_B0_15m_2bp,holdout,DOTUSDT,44,-372.93380970493655,0.6590909090909091
6,v3_selected_6_B0_15m_2bp,holdout,ETHUSDT,30,29.19135862798665,0.6333333333333333
6,v3_selected_6_B0_15m_2bp,holdout,FILUSDT,36,1194.729183375887,0.7222222222222222
6,v3_selected_6_B0_15m_2bp,holdout,HBARUSDT,53,1521.021059542526,0.6415094339622641
6,v3_selected_6_B0_15m_2bp,holdout,LINKUSDT,23,-695.1809644740049,0.6086956521739131
6,v3_selected_6_B0_15m_2bp,holdout,LTCUSDT,48,753.494551861309,0.7083333333333334
6,v3_selected_6_B0_15m_2bp,holdout,NEARUSDT,54,-478.54041621701117,0.5740740740740741
6,v3_selected_6_B0_15m_2bp,holdout,SOLUSDT,27,492.06060564311014,0.5185185185185185
6,v3_selected_6_B0_15m_2bp,holdout,SUIUSDT,25,-911.5988641769611,0.6
6,v3_selected_6_B0_15m_2bp,holdout,TRXUSDT,60,50.91061205741041,0.5666666666666667
6,v3_selected_6_B0_15m_2bp,holdout,UNIUSDT,69,-303.002107454654,0.6666666666666666
6,v3_selected_6_B0_15m_2bp,holdout,XLMUSDT,39,556.4162857260292,0.6666666666666666
6,v3_selected_6_B0_15m_2bp,holdout,XRPUSDT,38,15.214289458756866,0.6842105263157895
7,v3_selected_7_AR1_15m_2bp,valid,AAVEUSDT,95,867.8282947883008,0.6631578947368421
7,v3_selected_7_AR1_15m_2bp,valid,ADAUSDT,67,919.3075030147332,0.7014925373134329
7,v3_selected_7_AR1_15m_2bp,valid,AVAXUSDT,72,1272.0902308586085,0.6388888888888888
7,v3_selected_7_AR1_15m_2bp,valid,BCHUSDT,96,-74.75813988610264,0.5729166666666666
7,v3_selected_7_AR1_15m_2bp,valid,BNBUSDT,87,232.44408164096208,0.5287356321839081
7,v3_selected_7_AR1_15m_2bp,valid,BTCUSDT,90,-280.60678753482244,0.5444444444444444
7,v3_selected_7_AR1_15m_2bp,valid,DOGEUSDT,60,-735.442223244702,0.55
7,v3_selected_7_AR1_15m_2bp,valid,DOTUSDT,52,1526.6780632873597,0.7307692307692307
7,v3_selected_7_AR1_15m_2bp,valid,ETHUSDT,71,629.5604282843619,0.6197183098591549
7,v3_selected_7_AR1_15m_2bp,valid,FILUSDT,98,-79.35369275884844,0.5918367346938775
7,v3_selected_7_AR1_15m_2bp,valid,HBARUSDT,95,307.8407998956421,0.5789473684210527
7,v3_selected_7_AR1_15m_2bp,valid,LINKUSDT,41,483.4430170124452,0.6585365853658537
7,v3_selected_7_AR1_15m_2bp,valid,LTCUSDT,71,1469.775972529759,0.5915492957746479
7,v3_selected_7_AR1_15m_2bp,valid,NEARUSDT,156,-1711.434633526856,0.532051282051282
7,v3_selected_7_AR1_15m_2bp,valid,SOLUSDT,87,832.9458997248104,0.5632183908045977
7,v3_selected_7_AR1_15m_2bp,valid,SUIUSDT,76,-437.649632778075,0.5131578947368421
