id,model,frequency_min,target,signal_time,entry_time,exit_time,gross_target,entry_turnover,exit_turnover,price_pnl,fee,funding_cashflow,net_pnl,net_pnl_including_funding,hold_minutes,z_entry,reason
72,B0,15,XLMUSDT,2026-05-27 14:29:00+00:00,2026-05-27 14:31:00+00:00,2026-05-27 16:01:00+00:00,10016.80514245509,9993.197155304902,10420.693138835375,-427.495983530473,4.082778058828056,0.8063384570446126,-431.57876158930105,-430.77242313225645,90.0,3.2087842948988716,stop
73,B0,15,XLMUSDT,2026-05-27 16:14:00+00:00,2026-05-27 16:16:00+00:00,2026-05-27 17:46:00+00:00,9973.727900141865,9955.253472072944,9834.553875355989,120.6995967169545,3.9579614694857863,0.0,116.74163524746872,116.74163524746872,90.0,2.631355963089708,mean
74,B0,15,XLMUSDT,2026-05-27 19:14:00+00:00,2026-05-27 19:16:00+00:00,2026-05-27 19:46:00+00:00,9985.402063666612,10027.863022123025,9641.586247276484,386.27677484654095,3.9338898538799016,0.0,382.342884992661,382.342884992661,30.0,2.146052033864355,mean
75,B0,15,HBARUSDT,2026-05-28 04:14:00+00:00,2026-05-28 04:16:00+00:00,2026-05-28 06:31:00+00:00,10023.636352165879,10027.291056718199,10093.075738659978,65.78468194177883,4.0240733590756355,0.0,61.7606085827032,61.7606085827032,135.0,-2.092800345335209,mean
76,B0,15,XLMUSDT,2026-05-28 13:29:00+00:00,2026-05-28 13:31:00+00:00,2026-05-28 15:16:00+00:00,10029.812413024149,10060.68739067829,9722.074930832046,338.61245984624327,3.9565524643020673,0.0,334.6559073819412,334.6559073819412,105.0,2.060964396442226,mean
77,B0,15,HBARUSDT,2026-05-28 13:44:00+00:00,2026-05-28 13:46:00+00:00,2026-05-28 17:16:00+00:00,10005.974126219804,9966.018724688978,10364.43115709636,-398.41243240738214,4.066089976357068,-0.5877053701944664,-402.4785223837392,-403.0662277539336,210.0,2.1313674364648354,stop
78,B0,15,HBARUSDT,2026-05-30 00:14:00+00:00,2026-05-30 00:16:00+00:00,2026-05-30 00:46:00+00:00,10022.97138098695,10060.220565581327,10396.443468630572,-336.2229030492446,4.091332806842379,0.0,-340.314235856087,-340.314235856087,30.0,2.8556657242598815,stop
79,B0,15,HBARUSDT,2026-05-30 00:59:00+00:00,2026-05-30 01:01:00+00:00,2026-05-30 02:46:00+00:00,9988.939957401342,10012.971829233713,9554.517658893095,458.4541703406179,3.9134978976253616,0.0,454.54067244299256,454.54067244299256,105.0,3.8134309864506317,mean
80,B0,15,DOGEUSDT,2026-06-02 14:29:00+00:00,2026-06-02 14:31:00+00:00,2026-06-02 17:31:00+00:00,10034.39402464564,10045.91938063093,10049.062659536006,3.143278905077295,4.018996408033387,0.13461990852094,-0.8757175029560922,-0.7410975944351522,180.0,-2.780298354633624,mean
81,B0,15,FILUSDT,2026-06-04 02:14:00+00:00,2026-06-04 02:16:00+00:00,2026-06-04 03:31:00+00:00,10034.319914886197,10010.820336631194,10422.062956093743,411.2426194625494,4.086576658544987,0.0,407.1560428040044,407.1560428040044,75.0,-2.278556359689046,mean
