symbol,band,minutes,n,mean,median,positive_rate,q05,model
XLMUSDT,4+,240,400,0.0126584133854369,0.0046727571156868,0.6125,-0.0461608712765991,B0
XLMUSDT,4+,1440,400,0.0426620804221096,0.0187507629119412,0.635,-0.0883257247516869,B0
FILUSDT,1-2,5,8723,4.022284322858186e-07,0.0,0.4422790324429668,-0.006004445307795,B0
FILUSDT,1-2,15,8723,3.616669395162619e-06,0.0,0.4655508426000229,-0.008602681556382,B0
FILUSDT,1-2,30,8723,0.0001086298801774,0.0,0.4810271695517597,-0.0113158384515168,B0
FILUSDT,1-2,60,8723,0.0002949210014585,0.0,0.4960449386678895,-0.015249421572719,B0
FILUSDT,1-2,120,8723,0.0007804602275162,0.0008521516829995,0.5119798234552333,-0.0201321081569631,B0
FILUSDT,1-2,240,8722,0.0010182882777921,0.0007008694219355,0.5080256821829856,-0.0261367556123371,B0
FILUSDT,1-2,1440,8655,-0.0013089040958638,-0.001025641025641,0.482842287694974,-0.064424289508173,B0
FILUSDT,2-3,5,1904,-0.0002140352237748,0.0,0.4385504201680672,-0.0084508243442813,B0
FILUSDT,2-3,15,1904,-0.0002788129608934,0.0,0.4695378151260504,-0.012634493670886,B0
FILUSDT,2-3,30,1904,-0.0001250461017521,0.0,0.4978991596638655,-0.016719628899116,B0
FILUSDT,2-3,60,1904,-0.0001845783955718,0.0005100782383483,0.5105042016806722,-0.0232634738151012,B0
FILUSDT,2-3,120,1904,0.0002618080472788,0.0010240679565832,0.5136554621848739,-0.0238972539266393,B0
FILUSDT,2-3,240,1904,0.0002031912795789,0.0010834236186347,0.5136554621848739,-0.0314054315671392,B0
FILUSDT,2-3,1440,1901,-0.0049279578163498,-0.0039946737683089,0.4471330878485008,-0.0835411471321696,B0
FILUSDT,3-4,5,642,0.0003970795016882,0.0,0.4937694704049844,-0.0093004942933313,B0
FILUSDT,3-4,15,642,0.0007529711839709,0.0,0.4968847352024922,-0.0134491309162694,B0
FILUSDT,3-4,30,642,0.0006569432283707,0.0,0.4875389408099688,-0.0179047023927546,B0
FILUSDT,3-4,60,642,0.0005819408752524,-0.0003788452795878,0.4781931464174455,-0.0206962054538218,B0
FILUSDT,3-4,120,642,-0.0001418330626552,-0.0011723329425556,0.454828660436137,-0.0267149923247484,B0
FILUSDT,3-4,240,642,-0.0008318813291484,-0.0019823551472282,0.4532710280373832,-0.0306377730796334,B0
FILUSDT,3-4,1440,639,-0.0058004617734075,-0.005089058524173,0.4178403755868544,-0.0838684691267812,B0
FILUSDT,4+,5,416,0.0004983158656762,0.0,0.4903846153846153,-0.0125144324258628,B0
FILUSDT,4+,15,416,0.0005626760423482,0.0,0.4975961538461538,-0.0159642036929817,B0
FILUSDT,4+,30,416,0.0001741263803393,0.0,0.4639423076923077,-0.019334780325586,B0
FILUSDT,4+,60,416,0.0013503287280722,0.0010588840370709,0.5168269230769231,-0.0251812019852321,B0
FILUSDT,4+,120,416,0.0003865750461742,-0.0011560709092464,0.4663461538461538,-0.0349098720645721,B0
FILUSDT,4+,240,416,-0.0008835929220358,-0.0009377377145061,0.4855769230769231,-0.0371535385866866,B0
FILUSDT,4+,1440,416,0.0034035062042743,0.0075929752066116,0.5721153846153846,-0.0630948422715017,B0
UNIUSDT,1-2,5,9181,5.229145810037308e-05,0.0,0.480121991068511,-0.0057710804745111,B0
UNIUSDT,1-2,15,9181,8.943710100453317e-05,0.0,0.4821914824093236,-0.0081521739130435,B0
UNIUSDT,1-2,30,9181,0.0002004657699508,0.0,0.4898159241912646,-0.0107579462102688,B0
UNIUSDT,1-2,60,9181,0.0003727735597573,0.0002743484224965,0.5044112841738373,-0.014516129032258,B0
UNIUSDT,1-2,120,9181,0.000490375935774,0.0002790957298353,0.5052826489489163,-0.0206591244466305,B0
UNIUSDT,1-2,240,9180,0.0007328803635985,0.0,0.4981481481481482,-0.0265064674839663,B0
UNIUSDT,1-2,1440,9127,0.0036672897743734,0.0,0.4997260874328914,-0.0628855049198645,B0
UNIUSDT,2-3,5,2130,0.0001131584215178,0.0,0.4995305164319248,-0.0075230412672118,B0
UNIUSDT,2-3,15,2130,0.0002760962731891,0.0003242061600116,0.5154929577464789,-0.0111478959795973,B0
UNIUSDT,2-3,30,2130,0.0003554340217394,0.0003051249825444,0.5089201877934272,-0.0136277358332609,B0
UNIUSDT,2-3,60,2130,0.0007278960531016,0.0,0.4962441314553991,-0.0176005798572425,B0
UNIUSDT,2-3,120,2130,0.0011852411430181,0.0,0.4985915492957746,-0.0248489726889178,B0
UNIUSDT,2-3,240,2130,0.0014517388318387,0.0004940214738896,0.5051643192488263,-0.0337570608779347,B0
UNIUSDT,2-3,1440,2124,0.0051469841963039,-0.0016694083759761,0.4806967984934087,-0.0668697423371799,B0
UNIUSDT,3-4,5,663,-6.527326183080877e-05,0.0002883506343713,0.5188536953242836,-0.010008185670262,B0
UNIUSDT,3-4,15,663,0.0001315854516963,0.0,0.4992458521870286,-0.0128750761468832,B0
UNIUSDT,3-4,30,663,-0.0001649120392012,-0.0002828854314004,0.4781297134238311,-0.0166278801304721,B0
UNIUSDT,3-4,60,663,0.0001931555542059,-0.0006773538044705,0.4705882352941176,-0.0208156136087485,B0
UNIUSDT,3-4,120,663,0.0004434716865492,-0.0002489419965149,0.4947209653092006,-0.0306060949359918,B0
UNIUSDT,3-4,240,663,0.0007949585949002,-0.0008547008547007,0.4751131221719457,-0.0382298632985243,B0
UNIUSDT,3-4,1440,663,-0.0012607798949426,-0.0053066037735848,0.4509803921568627,-0.0664329720681679,B0
UNIUSDT,4+,5,418,0.0004326266220113,0.0006119202170369,0.5215311004784688,-0.0124370518370147,B0
UNIUSDT,4+,15,418,0.0004213788162778,0.0008360292754631,0.5430622009569378,-0.0201696446439292,B0
UNIUSDT,4+,30,418,0.0008352519533224,0.0017518229521603,0.5406698564593302,-0.0244239422178216,B0
UNIUSDT,4+,60,418,0.0010154874799787,0.0007753519689859,0.5119617224880383,-0.0259491310185485,B0
UNIUSDT,4+,120,418,0.0008776188411979,-0.0004297170135311,0.4688995215311005,-0.0261923276672796,B0
UNIUSDT,4+,240,418,0.0023091685093026,0.0023211975830639,0.5478468899521531,-0.0320342337425096,B0
UNIUSDT,4+,1440,418,0.0018245373181572,-0.0045736692238402,0.4354066985645933,-0.0650350194573198,B0
NEARUSDT,1-2,5,10680,8.31859493104569e-05,0.0,0.4666666666666667,-0.0067355189210934,B0
NEARUSDT,1-2,15,10678,0.0001473170683066,0.0,0.479958793781607,-0.0098878503718753,B0
NEARUSDT,1-2,30,10676,0.0001636527065335,0.0,0.4859497939303109,-0.0133774984727986,B0
NEARUSDT,1-2,60,10674,0.0002215794507311,0.0,0.476672287802136,-0.0173304537451057,B0
NEARUSDT,1-2,120,10670,0.000200142583395,0.0,0.4868791002811621,-0.0239206727190361,B0
NEARUSDT,1-2,240,10663,0.0003599328848562,-0.000738552437223,0.4689111882209509,-0.0309283919062833,B0
NEARUSDT,1-2,1440,10608,0.0024955022866701,-0.0023483369546435,0.4690799396681749,-0.0684073180286468,B0
NEARUSDT,2-3,5,2336,5.456498403445181e-05,0.0,0.4738869863013699,-0.008549723128785,B0
NEARUSDT,2-3,15,2336,0.0002200708078536,0.0004249011857708,0.5004280821917808,-0.0121493689654972,B0
NEARUSDT,2-3,30,2335,0.0004898362903449,0.0007824726134584,0.5297644539614561,-0.014536904644635,B0
NEARUSDT,2-3,60,2331,0.0008000132486401,0.0005608524957936,0.5062205062205062,-0.0192307692307692,B0
NEARUSDT,2-3,120,2331,0.0011996675747738,0.0,0.492063492063492,-0.0270488599632234,B0
NEARUSDT,2-3,240,2331,0.0006237852271921,-0.0010045203415368,0.4701844701844702,-0.0319402256568648,B0
NEARUSDT,2-3,1440,2322,0.0014130404187512,-0.0045937414065184,0.4565030146425495,-0.0810931189169105,B0
NEARUSDT,3-4,5,534,-9.233070672674228e-05,0.0,0.4737827715355805,-0.0105664328444831,B0
NEARUSDT,3-4,15,534,-4.567333916713916e-05,0.0004934357248922,0.5074906367041199,-0.0146428796440526,B0
NEARUSDT,3-4,30,534,-6.614443057230688e-05,0.0,0.49812734082397,-0.0192433150271209,B0
NEARUSDT,3-4,60,534,0.0003689672625816,0.0007432182371559,0.5243445692883895,-0.0281848420218815,B0
NEARUSDT,3-4,120,534,0.0015214386209748,0.001085578074728,0.5280898876404494,-0.0463165003558606,B0
NEARUSDT,3-4,240,534,0.0046310413040187,0.0017851831392877,0.5262172284644194,-0.0436936766438684,B0
NEARUSDT,3-4,1440,533,-0.0030847536993026,-0.0082781456953643,0.4108818011257035,-0.1368491858970633,B0
NEARUSDT,4+,5,240,0.0007840908363481,0.0009996885643214,0.5291666666666667,-0.0102875910722052,B0
NEARUSDT,4+,15,240,0.0017068853545227,0.002149999229667,0.5833333333333334,-0.0166198745687709,B0
NEARUSDT,4+,30,240,0.0025184205831911,0.0039467878001298,0.6083333333333333,-0.0227931339759984,B0
NEARUSDT,4+,60,240,0.0038756155475401,0.0049288471946246,0.5958333333333333,-0.0217910412990174,B0
NEARUSDT,4+,120,240,0.0030736810560251,0.0034317154573225,0.5666666666666667,-0.0338358794557141,B0
NEARUSDT,4+,240,240,0.0055631754993775,0.0060124958190654,0.5958333333333333,-0.0519777337057745,B0
NEARUSDT,4+,1440,240,0.0110532437577554,0.0095695909492945,0.625,-0.0974010361787602,B0
AAVEUSDT,1-2,5,9857,2.3773224342523343e-05,0.0,0.4958912448006493,-0.0056098225242601,B0
AAVEUSDT,1-2,15,9857,5.431642407937844e-05,0.0,0.4992391194075276,-0.0082687407106289,B0
AAVEUSDT,1-2,30,9857,5.618769982390772e-05,0.0001022704029454,0.5022826417774171,-0.0106907586026412,B0
AAVEUSDT,1-2,60,9857,3.388222717546577e-05,8.979885057480708e-05,0.5004565283554834,-0.0147752150277548,B0
AAVEUSDT,1-2,120,9857,0.000242356998094,0.0,0.496905752257279,-0.0196192665761697,B0
AAVEUSDT,1-2,240,9857,0.0003006814036982,-0.0006129955046996,0.4739778837374455,-0.026123090632577,B0
AAVEUSDT,1-2,1440,9835,0.0020065637236749,-0.0009009009009008,0.4904931367564819,-0.0621833605525055,B0
AAVEUSDT,2-3,5,2206,8.664919654197177e-05,0.0,0.4932003626473255,-0.0078633948614851,B0
AAVEUSDT,2-3,15,2206,3.746912810211415e-05,0.0001092251579104,0.5031731640979148,-0.0116943841741252,B0
AAVEUSDT,2-3,30,2206,1.765726392878039e-05,0.0002158889363567,0.5122393472348141,-0.0148685947124695,B0
AAVEUSDT,2-3,60,2206,0.0006310449259979,0.0001084690079203,0.5031731640979148,-0.0183896741210938,B0
AAVEUSDT,2-3,120,2206,0.0011669891025782,0.0008062667464049,0.5249320036264733,-0.0252213502614959,B0
AAVEUSDT,2-3,240,2206,0.0017842289203735,0.0007325254243277,0.5240253853127833,-0.0334539680145355,B0
AAVEUSDT,2-3,1440,2203,0.0015144592727209,-0.0017156337122025,0.4802541988197912,-0.0701017778212601,B0
