rank,strategy,period,return,start_equity,end_equity
8,v3_selected_8_AR1_60m_2bp,2026-04,-0.014765815078993216,97930.48819779606,96484.46471847188
8,v3_selected_8_AR1_60m_2bp,2026-05,0.012606301478707005,96484.46471847188,97700.7769687246
8,v3_selected_8_AR1_60m_2bp,2026-06,0.019031305600597737,97700.7769687246,99560.15031263223
8,v3_selected_8_AR1_60m_2bp,2026-07,-0.007375855837834622,99560.15031263223,98825.80899673312
8,v3_selected_8_AR1_60m_2bp,2026-08,-0.0347069057417726,98825.80899673312,95395.87095902908
9,v3_selected_9_B0_60m_2bp,formation,0.005936575419456247,100000.0,100593.65754194563
9,v3_selected_9_B0_60m_2bp,valid,0.03078895809231219,100593.65754194563,103690.831448357
9,v3_selected_9_B0_60m_2bp,holdout,-0.03093203465107497,103690.831448357,100483.46305699764
9,v3_selected_9_B0_60m_2bp,2026-03,0.010206879310432404,100000.0,101020.68793104324
9,v3_selected_9_B0_60m_2bp,2026-04,-0.004227157801470316,101020.68793104324,100593.65754194563
9,v3_selected_9_B0_60m_2bp,2026-05,-0.0005659344013995149,100593.65754194563,100536.72813058004
9,v3_selected_9_B0_60m_2bp,2026-06,0.03137264735411227,100536.72813058004,103690.831448357
9,v3_selected_9_B0_60m_2bp,2026-07,0.02359516563823938,103690.831448357,106137.43379154774
9,v3_selected_9_B0_60m_2bp,2026-08,-0.053270279227349726,106137.43379154774,100483.46305699764
10,v3_selected_10_B0_60m_2bp,formation,-0.027158798876413592,100000.0,97284.12011235864
10,v3_selected_10_B0_60m_2bp,valid,0.03027843761463478,97284.12011235864,100229.73127407533
10,v3_selected_10_B0_60m_2bp,holdout,-0.007107790578371742,100229.73127407533,99517.31933445272
10,v3_selected_10_B0_60m_2bp,2026-03,0.007665867772101764,100000.0,100766.58677721018
10,v3_selected_10_B0_60m_2bp,2026-04,-0.03455973627995457,100766.58677721018,97284.12011235864
10,v3_selected_10_B0_60m_2bp,2026-05,-0.015575087612944905,97284.12011235864,95768.9114182604
10,v3_selected_10_B0_60m_2bp,2026-06,0.046578997189732796,95768.9114182604,100229.73127407533
10,v3_selected_10_B0_60m_2bp,2026-07,0.031078018976918864,100229.73127407533,103344.67276466252
10,v3_selected_10_B0_60m_2bp,2026-08,-0.03703484009210112,103344.67276466252,99517.31933445272
