strategy,horizon_min,fee_bp,trades,allocation_per_pair,mean_price_bp,mean_funding_bp,mean_gross_bp,return,may_jun_return,jul_aug_return,max_drawdown,win_rate,break_even_one_way_bp
funding_reversal_q5,480.0,0.5,550,1.0,-2.180464333471069,0.356465463275902,-1.8239988701951668,-0.14879963738334967,-0.1179170104836863,-0.0999213972120937,-0.21449832184474527,0.4763636363636364,-0.9119994350975834
funding_reversal_q5,480.0,1.0,550,1.0,-2.180464333471069,0.356465463275902,-1.8239988701951668,-0.19436716181387004,-0.133924238870767,-0.11651837089522243,-0.24554474175800878,0.4690909090909091,-0.9119994350975834
funding_reversal_q5,480.0,2.0,550,1.0,-2.180464333471069,0.356465463275902,-1.8239988701951668,-0.2783265834192675,-0.16507710538762554,-0.14880459967196147,-0.3063307576805119,0.44181818181818183,-0.9119994350975834
funding_reversal_q5,480.0,3.0,550,1.0,-2.180464333471069,0.356465463275902,-1.8239988701951668,-0.35355037222294694,-0.1951153027067829,-0.17991706261197749,-0.3720184856431601,0.42,-0.9119994350975834
funding_reversal_q5,480.0,5.0,550,1.0,-2.180464333471069,0.356465463275902,-1.8239988701951668,-0.4813266438641072,-0.2520049742687267,-0.23878896363596158,-0.48905134814704887,0.39090909090909093,-0.9119994350975834
distance_pair,,0.0,829,0.2,-3.67155102779302,0.0,-3.67155102779302,-0.05965613878416165,-0.022433009429289608,-0.038077318192936804,-0.09122944240892672,0.5078407720144753,-1.83577551389651
distance_pair,,0.5,829,0.2,-3.67155102779302,0.0,-3.67155102779302,-0.07511980571424348,-0.03126967322989582,-0.04526557213352744,-0.10138866139946101,0.49095295536791317,-1.83577551389651
distance_pair,,1.0,829,0.2,-3.67155102779302,0.0,-3.67155102779302,-0.09032947908010247,-0.04002663284321761,-0.0524002518797696,-0.11143450949189715,0.4776839565741858,-1.83577551389651
distance_pair,,2.0,829,0.2,-3.67155102779302,0.0,-3.67155102779302,-0.1200034445795265,-0.05730430241147344,-0.0665104787562334,-0.13119113062826682,0.4499396863691194,-1.83577551389651
distance_pair,,3.0,829,0.2,-3.67155102779302,0.0,-3.67155102779302,-0.14871055808935674,-0.07427167986824523,-0.08041114936455451,-0.15564222156793384,0.4294330518697226,-1.83577551389651
distance_pair,,5.0,829,0.2,-3.67155102779302,0.0,-3.67155102779302,-0.20334906890750992,-0.10729770101521563,-0.10759619192369874,-0.206666872837433,0.3896260554885404,-1.83577551389651
